# noFinsADAS4 (Up to date)
# 724 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
5.5349,2340.9,475.1,-53.373
5.5849,2364.6,472.43,-53.37
5.6349,2388.1,469.77,-53.188
5.6849,2411.6,467.12,-52.848
5.7349,2434.9,464.49,-51.996
5.7849,2458,461.91,-51.167
5.8301,2478.9,459.61,-50.996
5.8787,2501.2,457.12,-51.098
5.9287,2523.9,454.56,-51.388
5.9787,2546.6,451.98,-51.853
6.023,2566.6,449.69,-51.83
6.0597,2583,447.79,-51.348
6.1097,2605.4,445.24,-50.412
6.1597,2627.6,442.75,-49.436
6.2087,2649.2,440.34,-48.924
6.2432,2664.3,438.66,-49.013
6.2891,2684.4,436.4,-49.312
6.3391,2706.2,433.92,-49.671
6.3891,2727.8,431.44,-49.75
6.4391,2749.3,428.95,-49.699
6.4891,2770.7,426.47,-49.45
6.5391,2792,424.02,-48.519
6.5891,2813.1,421.62,-47.678
6.6391,2834.1,419.24,-47.386
6.689,2855,416.88,-47.436
6.739,2875.8,414.5,-47.533
6.789,2896.4,412.12,-47.706
6.839,2917,409.73,-47.856
6.889,2937.4,407.34,-47.763
6.939,2957.7,404.96,-47.524
6.989,2977.9,402.6,-46.937
7.039,2998,400.26,-46.468
7.089,3017.9,397.95,-46.028
7.139,3037.8,395.65,-45.824
7.189,3057.5,393.37,-45.647
7.239,3077.1,391.09,-45.655
7.289,3096.6,388.8,-45.768
7.339,3116,386.51,-45.859
7.389,3135.3,384.22,-45.786
7.439,3154.4,381.94,-45.356
7.489,3173.5,379.68,-45.142
7.539,3192.4,377.42,-44.86
7.589,3211.2,375.19,-44.315
7.639,3229.9,372.99,-43.866
7.689,3248.5,370.8,-43.985
7.739,3267,368.59,-44.379
7.789,3285.4,366.36,-44.527
7.839,3303.6,364.14,-44.415
7.889,3321.8,361.92,-44.216
7.939,3339.8,359.72,-43.848
7.989,3357.8,357.54,-43.43
8.039,3375.6,355.38,-43.134
8.089,3393.3,353.23,-42.749
8.139,3410.9,351.09,-42.701
8.189,3428.4,348.96,-42.866
8.239,3445.8,346.81,-42.72
8.289,3463.1,344.69,-42.428
8.339,3480.3,342.57,-42.333
8.389,3497.3,340.45,-42.408
8.439,3514.3,338.33,-42.436
8.489,3531.2,336.21,-42.362
8.539,3547.9,334.09,-42.272
8.589,3564.6,331.98,-42.083
8.639,3581.1,329.88,-41.797
8.689,3597.6,327.8,-41.497
8.739,3613.9,325.73,-41.33
8.789,3630.1,323.67,-41.215
8.839,3646.3,321.61,-41.101
8.889,3662.3,319.56,-41.003
8.939,3678.2,317.51,-40.733
8.989,3694.1,315.48,-40.543
9.039,3709.8,313.46,-40.388
9.089,3725.4,311.44,-40.331
9.139,3740.9,309.42,-40.385
9.189,3756.3,307.4,-40.625
9.239,3771.7,305.36,-40.827
9.289,3786.9,303.32,-40.832
9.339,3802,301.28,-40.585
9.389,3817,299.27,-40.153
9.439,3831.9,297.27,-39.653
9.489,3846.7,295.3,-39.38
9.539,3861.5,293.33,-39.517
9.589,3876.1,291.35,-39.411
9.639,3890.6,289.38,-39.296
9.689,3905,287.42,-39.26
9.739,3919.3,285.46,-39.267
9.789,3933.6,283.49,-39.3
9.839,3947.7,281.53,-39.253
9.889,3961.7,279.57,-39.104
9.939,3975.6,277.62,-38.894
9.989,3989.5,275.68,-38.77
10.039,4003.2,273.74,-38.65
10.089,4016.8,271.82,-38.319
10.139,4030.4,269.91,-38.154
10.189,4043.8,268,-38.058
10.239,4057.2,266.1,-38.12
10.289,4070.4,264.19,-38.104
10.339,4083.6,262.29,-38.05
10.389,4096.7,260.38,-38.049
10.439,4109.6,258.49,-37.871
10.489,4122.5,256.6,-37.724
10.539,4135.3,254.71,-37.7
10.589,4148,252.83,-37.735
10.639,4160.6,250.94,-37.853
10.689,4173.1,249.04,-38.075
10.739,4185.5,247.14,-37.946
10.789,4197.8,245.24,-37.699
10.839,4210,243.37,-37.487
10.889,4222.1,241.5,-37.206
10.939,4234.2,239.65,-36.881
10.989,4246.1,237.81,-36.567
11.039,4257.9,235.99,-36.351
11.089,4269.7,234.17,-36.24
11.139,4281.4,232.36,-36.29
11.189,4292.9,230.54,-36.394
11.239,4304.4,228.72,-36.437
11.289,4315.8,226.9,-36.526
11.339,4327.1,225.07,-36.57
11.389,4338.3,223.24,-36.604
11.439,4349.4,221.41,-36.698
11.489,4360.5,219.57,-36.631
11.539,4371.4,217.74,-36.667
11.589,4382.2,215.91,-36.663
11.639,4393,214.08,-36.575
11.689,4403.6,212.26,-36.206
11.739,4414.2,210.45,-35.969
11.789,4424.7,208.66,-35.654
11.839,4435.1,206.89,-35.426
11.889,4445.4,205.12,-35.362
11.939,4455.6,203.35,-35.416
11.989,4465.7,201.58,-35.471
12.039,4475.7,199.8,-35.469
12.089,4485.7,198.03,-35.427
12.139,4495.5,196.26,-35.343
12.189,4505.3,194.49,-35.405
12.239,4515,192.72,-35.474
12.289,4524.6,190.95,-35.327
12.339,4534.1,189.19,-35.177
12.389,4543.5,187.43,-34.903
12.439,4552.8,185.69,-35.026
12.489,4562.1,183.94,-35.007
12.539,4571.2,182.19,-35.003
12.589,4580.3,180.44,-34.893
12.639,4589.3,178.69,-34.887
12.689,4598.2,176.95,-34.81
12.739,4607,175.21,-34.867
12.789,4615.7,173.47,-34.783
12.839,4624.3,171.73,-34.654
12.889,4632.9,170,-34.71
12.939,4641.3,168.26,-34.739
12.989,4649.7,166.52,-34.799
13.039,4658,164.78,-34.752
13.089,4666.2,163.05,-34.654
13.139,4674.3,161.32,-34.631
13.189,4682.3,159.59,-34.554
13.239,4690.2,157.86,-34.362
13.289,4698.1,156.15,-34.279
13.339,4705.8,154.44,-34.251
13.389,4713.5,152.73,-34.088
13.439,4721.1,151.03,-33.966
13.489,4728.6,149.33,-33.774
13.539,4736,147.65,-33.7
13.589,4743.4,145.96,-33.547
13.639,4750.6,144.29,-33.418
13.689,4757.8,142.62,-33.171
13.739,4764.9,140.97,-33.145
13.789,4771.9,139.31,-33.205
13.839,4778.8,137.65,-33.313
13.889,4785.7,135.98,-33.489
13.939,4792.4,134.3,-33.551
13.989,4799.1,132.62,-33.676
14.039,4805.7,130.93,-33.93
14.089,4812.2,129.23,-34.004
14.139,4818.6,127.53,-34.213
14.189,4825,125.81,-34.212
14.239,4831.2,124.1,-34.321
14.289,4837.4,122.39,-34.255
14.339,4843.4,120.67,-34.322
14.389,4849.4,118.96,-34.092
14.439,4855.3,117.26,-34.026
14.489,4861.2,115.56,-33.847
14.539,4866.9,113.87,-33.764
14.589,4872.5,112.19,-33.576
14.639,4878.1,110.51,-33.317
14.689,4883.6,108.85,-33.092
14.739,4889,107.21,-32.822
14.789,4894.3,105.57,-32.539
14.839,4899.6,103.95,-32.373
14.889,4904.7,102.33,-32.357
14.939,4909.8,100.72,-32.193
14.989,4914.8,99.108,-32.279
15.039,4919.7,97.493,-32.265
15.089,4924.5,95.88,-32.265
15.139,4929.3,94.267,-32.248
15.189,4934,92.654,-32.317
15.239,4938.5,91.04,-32.218
15.289,4943.1,89.429,-32.225
15.339,4947.5,87.816,-32.31
15.389,4951.8,86.197,-32.479
15.439,4956.1,84.571,-32.522
15.489,4960.3,82.944,-32.576
15.539,4964.4,81.313,-32.646
15.589,4968.4,79.68,-32.649
15.639,4972.4,78.046,-32.744
15.689,4976.2,76.407,-32.804
15.739,4980,74.766,-32.823
15.789,4983.7,73.124,-32.887
15.839,4987.3,71.478,-32.941
15.889,4990.9,69.83,-32.979
15.939,4994.3,68.181,-32.941
15.989,4997.7,66.537,-32.822
16.039,5001,64.897,-32.789
16.089,5004.2,63.257,-32.832
16.139,5007.3,61.616,-32.794
16.189,5010.3,59.979,-32.649
16.239,5013.3,58.352,-32.465
16.289,5016.2,56.731,-32.373
16.339,5019,55.114,-32.3
16.389,5021.7,53.502,-32.165
16.439,5024.3,51.896,-32.098
16.489,5026.9,50.295,-31.93
16.539,5029.3,48.702,-31.802
16.589,5031.7,47.114,-31.705
16.639,5034.1,45.532,-31.568
16.689,5036.3,43.956,-31.471
16.739,5038.4,42.384,-31.438
16.789,5040.5,40.812,-31.434
16.839,5042.5,39.242,-31.363
16.889,5044.5,37.673,-31.422
16.939,5046.3,36.103,-31.363
16.989,5048.1,34.536,-31.334
17.039,5049.7,32.969,-31.316
17.089,5051.4,31.405,-31.227
17.139,5052.9,29.844,-31.238
17.189,5054.3,28.284,-31.133
17.239,5055.7,26.727,-31.196
17.289,5057,25.166,-31.251
17.339,5058.2,23.603,-31.226
17.389,5059.4,22.042,-31.225
17.439,5060.4,20.481,-31.215
17.489,5061.4,18.922,-31.155
17.539,5062.3,17.365,-31.128
17.589,5063.2,15.808,-31.16
17.639,5063.9,14.249,-31.176
17.689,5064.6,12.692,-31.096
17.739,5065.2,11.137,-31.13
17.789,5065.7,9.5803,-31.133
17.839,5066.1,8.0247,-31.085
17.889,5066.5,6.4713,-31.057
17.939,5066.8,4.9186,-31.056
17.989,5067,3.3657,-31.057
18.039,5067.1,1.8137,-31.018
18.089,5067.2,0.26344,-30.995
18.139,5067.1,-1.2863,-30.997
# Event APOGEE occurred at t=18.189 seconds
18.189,5067,-2.8362,-30.997
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=18.19 seconds
18.23,5066.9,-4.0862,-30.78
18.269,5066.7,-5.2784,-30.287
18.31,5066.5,-6.4919,-29.813
18.352,5066.2,-7.7233,-29.348
18.395,5065.8,-8.9621,-28.867
18.438,5065.4,-10.196,-28.356
18.482,5064.9,-11.429,-27.865
18.527,5064.4,-12.666,-27.394
18.573,5063.8,-13.904,-26.926
18.621,5063.1,-15.153,-26.5
18.669,5062.3,-16.41,-26.071
18.718,5061.5,-17.664,-25.594
18.768,5060.6,-18.93,-25.193
18.819,5059.6,-20.207,-24.797
18.872,5058.5,-21.486,-24.356
18.926,5057.3,-22.776,-23.961
18.981,5056,-24.059,-23.456
19.036,5054.6,-25.336,-22.956
19.093,5053.2,-26.609,-22.47
19.151,5051.6,-27.877,-21.971
19.21,5049.9,-29.177,-21.749
19.271,5048.1,-30.466,-21.206
19.334,5046.1,-31.763,-20.787
19.397,5044.1,-33.058,-20.296
19.463,5041.8,-34.371,-19.949
19.53,5039.5,-35.663,-19.297
19.599,5037,-36.957,-18.817
19.67,5034.3,-38.253,-18.332
19.742,5031.5,-39.541,-17.751
19.816,5028.5,-40.796,-16.995
19.892,5025.4,-42.064,-16.568
19.971,5022,-43.312,-15.898
20.053,5018.4,-44.579,-15.498
20.137,5014.6,-45.843,-14.918
20.226,5010.5,-47.111,-14.367
20.317,5006.1,-48.366,-13.694
20.413,5001.4,-49.612,-13.045
20.513,4996.4,-50.846,-12.362
20.616,4991.1,-52.032,-11.499
20.724,4985.4,-53.206,-10.838
20.837,4979.4,-54.336,-10.028
20.956,4972.8,-55.459,-9.398
21.083,4965.7,-56.566,-8.7212
21.218,4958,-57.64,-7.9824
21.362,4949.6,-58.691,-7.2932
21.523,4940.1,-59.777,-6.7578
21.696,4929.6,-60.812,-5.9515
21.889,4917.8,-61.818,-5.2289
22.11,4904.1,-62.823,-4.5469
22.363,4888.1,-63.778,-3.7782
22.644,4870,-64.613,-2.965
22.984,4847.9,-65.401,-2.3178
23.302,4827,-65.87,-1.4773
23.79,4794.7,-66.484,-1.2571
24.29,4761.4,-66.858,-0.74914
24.79,4727.9,-67.046,-0.37557
25.29,4694.4,-67.143,-0.19371
25.79,4660.8,-67.176,-0.066071
26.29,4627.2,-67.179,-0.0065283
26.79,4593.6,-67.127,0.10544
27.29,4560.1,-67.12,0.014093
27.79,4526.5,-67.105,0.028516
28.29,4493,-67.076,0.059709
28.79,4459.4,-67.05,0.051776
29.29,4425.9,-67.019,0.061083
29.79,4392.4,-66.986,0.065492
30.29,4358.9,-66.952,0.068069
30.79,4325.5,-66.916,0.072739
31.29,4292,-66.884,0.063549
31.79,4258.6,-66.843,0.083176
32.29,4225.2,-66.815,0.055789
32.79,4191.8,-66.777,0.074486
33.29,4158.4,-66.744,0.066177
33.79,4125,-66.714,0.05995
34.29,4091.7,-66.674,0.08128
34.79,4058.3,-66.644,0.059015
35.29,4025,-66.615,0.05848
35.79,3991.7,-66.579,0.07103
36.29,3958.4,-66.548,0.062757
36.79,3925.2,-66.516,0.063248
37.29,3891.9,-66.485,0.06366
37.79,3858.7,-66.449,0.071346
38.29,3825.5,-66.391,0.11564
38.79,3792.3,-66.37,0.042482
39.29,3759.1,-66.345,0.049628
39.79,3725.9,-66.313,0.063473
40.29,3692.8,-66.281,0.064138
40.79,3659.7,-66.251,0.061006
41.29,3626.5,-66.221,0.059748
41.79,3593.4,-66.19,0.062337
42.29,3560.4,-66.159,0.061787
42.79,3527.3,-66.123,0.070828
43.29,3494.2,-66.089,0.068887
43.79,3461.2,-66.056,0.06658
44.29,3428.2,-66.026,0.059353
44.79,3395.2,-65.995,0.06113
45.29,3362.2,-65.966,0.059876
45.79,3329.2,-65.935,0.060866
46.29,3296.2,-65.904,0.062529
46.79,3263.3,-65.872,0.062755
47.29,3230.4,-65.838,0.069184
47.79,3197.5,-65.807,0.061705
48.29,3164.6,-65.774,0.065626
48.79,3131.7,-65.734,0.079673
49.29,3098.8,-65.706,0.05737
49.79,3066,-65.668,0.076155
50.29,3033.2,-65.639,0.0575
50.79,3000.4,-65.605,0.066848
51.29,2967.6,-65.575,0.059832
51.79,2934.8,-65.543,0.064287
52.29,2902,-65.511,0.065248
52.79,2869.3,-65.477,0.066616
53.29,2836.5,-65.445,0.064188
53.79,2803.8,-65.41,0.071419
54.29,2771.1,-65.38,0.059682
54.79,2738.4,-65.349,0.061052
55.29,2705.8,-65.314,0.070478
55.79,2673.1,-65.279,0.070763
56.29,2640.5,-65.242,0.072906
56.79,2607.9,-65.214,0.056506
57.29,2575.3,-65.187,0.05479
57.79,2542.7,-65.156,0.060766
58.29,2510.1,-65.126,0.061201
58.79,2477.6,-65.095,0.061728
59.29,2445,-65.064,0.062008
59.79,2412.5,-65.032,0.063496
60.29,2380,-65.001,0.061757
60.79,2347.5,-64.969,0.063296
61.29,2315,-64.932,0.074625
61.79,2282.6,-64.904,0.055446
62.29,2250.1,-64.867,0.074234
62.79,2217.7,-64.841,0.052821
63.29,2185.3,-64.812,0.057213
63.79,2152.9,-64.776,0.073283
64.29,2120.5,-64.747,0.057635
64.79,2088.1,-64.719,0.055761
65.29,2055.8,-64.689,0.059972
65.79,2023.5,-64.659,0.059571
66.29,1991.1,-64.629,0.060122
66.79,1958.8,-64.592,0.073206
67.29,1926.5,-64.564,0.055973
67.79,1894.3,-64.528,0.072911
68.29,1862,-64.503,0.04974
68.79,1829.8,-64.474,0.058988
69.29,1797.5,-64.446,0.055022
69.79,1765.3,-64.417,0.057473
70.29,1733.1,-64.387,0.061513
70.79,1700.9,-64.357,0.059051
71.29,1668.8,-64.327,0.059309
71.79,1636.6,-64.289,0.076714
72.29,1604.5,-64.26,0.057985
72.79,1572.3,-64.231,0.057566
73.29,1540.2,-64.201,0.05975
73.79,1508.1,-64.17,0.062885
74.29,1476.1,-64.14,0.060231
74.79,1444,-64.111,0.056802
75.29,1412,-64.077,0.069684
75.79,1379.9,-64.049,0.055975
76.29,1347.9,-64.019,0.058947
76.79,1315.9,-63.982,0.074259
77.29,1283.9,-63.948,0.068771
77.79,1252,-63.923,0.048924
78.29,1220,-63.893,0.059826
78.79,1188.1,-63.864,0.058423
79.29,1156.1,-63.833,0.063025
79.79,1124.2,-63.802,0.061437
80.29,1092.3,-63.773,0.057039
80.79,1060.5,-63.744,0.0587
81.29,1028.6,-63.71,0.068401
81.79,996.75,-63.668,0.083043
82.29,964.93,-63.641,0.055231
82.79,933.11,-63.618,0.045028
83.29,901.31,-63.592,0.051682
83.79,869.52,-63.565,0.055383
84.29,837.75,-63.532,0.065931
84.79,805.99,-63.502,0.060261
85.29,774.25,-63.445,0.11333
85.79,742.53,-63.43,0.028831
86.29,710.82,-63.408,0.044955
86.79,679.13,-63.382,0.051284
87.29,647.44,-63.352,0.060694
87.79,615.77,-63.326,0.052174
88.29,584.12,-63.291,0.07006
88.79,552.48,-63.267,0.048633
89.29,520.85,-63.24,0.052912
89.79,489.24,-63.21,0.060495
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=89.791 seconds
90.29,457.64,-63.181,0.058217
90.292,457.54,-61.54,1040.9
90.293,457.44,-59.9,985.91
90.295,457.34,-58.26,932.36
90.297,457.23,-56.619,880.26
90.299,457.12,-54.979,829.61
90.301,457.01,-53.338,780.4
90.303,456.89,-51.698,732.64
90.306,456.77,-50.058,686.32
90.308,456.64,-48.417,641.45
90.311,456.51,-46.777,598.02
90.314,456.38,-45.136,556.05
90.317,456.24,-43.496,515.52
90.321,456.09,-41.856,476.43
90.324,455.93,-40.215,438.8
90.328,455.77,-38.575,402.61
90.333,455.61,-36.934,367.87
90.338,455.43,-35.294,334.58
90.343,455.24,-33.654,302.74
90.349,455.04,-32.013,272.34
90.356,454.83,-30.373,243.4
90.364,454.61,-28.733,215.89
90.372,454.37,-27.093,189.83
90.382,454.11,-25.453,165.21
90.394,453.82,-23.813,142.04
90.407,453.51,-22.173,120.32
90.424,453.16,-20.533,100.04
90.444,452.76,-18.892,81.203
90.47,452.3,-17.252,63.815
90.504,451.73,-15.612,47.884
90.553,451.01,-13.977,33.443
90.633,449.96,-12.343,20.411
90.812,447.89,-10.755,8.8828
91.312,442.39,-11.257,-1.0039
91.729,437.87,-10.382,2.0958
92.055,434.33,-11.317,-2.8688
92.555,428.96,-10.158,2.319
92.853,425.76,-11.392,-4.1524
93.353,420.41,-10.004,2.7749
93.655,417.15,-11.566,-5.1595
93.86,414.87,-10.654,4.4432
94.36,409.34,-11.447,-1.5865
94.707,405.58,-10.307,3.2914
95.166,400.47,-11.933,-3.54
95.428,397.56,-10.309,6.2046
95.877,392.57,-11.886,-3.5068
96.094,390.13,-10.549,6.1492
96.594,384.59,-11.628,-2.157
96.934,380.9,-10.156,4.3401
97.231,377.69,-11.383,-4.1212
97.731,372.35,-9.9861,2.7932
98.038,369.04,-11.596,-5.2517
98.224,366.96,-10.699,4.8043
98.724,361.45,-11.341,-1.2839
98.984,358.6,-10.572,2.9608
99.484,353.07,-11.571,-1.998
99.89,348.7,-9.9613,3.9617
100.14,346.08,-11.209,-5.0495
100.43,342.92,-10.591,2.1301
100.85,338.33,-11.3,-1.6888
101.35,332.97,-10.149,2.3017
101.71,329.02,-11.708,-4.3198
102.03,325.53,-10.151,4.8769
102.38,321.65,-11.677,-4.2866
102.69,318.24,-10.203,4.7269
102.93,315.77,-10.996,-3.4062
103.43,310.35,-10.674,0.64525
103.83,305.97,-11.133,-1.1429
104.33,300.57,-10.467,1.3323
104.8,295.4,-11.617,-2.4582
105.01,293.05,-10.603,4.7985
105.51,287.54,-11.446,-1.6862
105.97,282.62,-9.9397,3.2719
106.23,279.86,-11.295,-5.22
106.69,274.88,-10.17,2.4228
107.02,271.36,-11.48,-4.0315
107.26,268.68,-10.533,3.8837
107.72,263.62,-11.461,-2.0161
108.21,258.42,-9.8204,3.3618
108.48,255.61,-11.419,-6.034
108.86,251.43,-10.172,3.2176
109.22,247.53,-11.634,-4.087
109.5,244.45,-10.335,4.63
109.86,240.54,-11.434,-3.0617
110.33,235.49,-9.8994,3.2378
110.62,232.39,-11.525,-5.6213
111.05,227.85,-9.9156,3.7983
111.34,224.67,-11.556,-5.5395
111.72,220.56,-10.024,4.0262
111.9,218.71,-10.705,-3.7984
112.4,213.22,-11.259,-1.1084
112.9,207.87,-10.141,2.236
113.15,205.23,-11.086,-3.8027
113.35,203.02,-10.681,1.9975
113.85,197.53,-11.269,-1.1775
114.19,193.87,-10.427,2.4993
114.6,189.44,-11.451,-2.5304
115.08,184.3,-9.8175,3.3791
115.32,181.8,-11.194,-5.7691
115.82,176.43,-10.291,1.8055
116.26,171.54,-11.798,-3.4088
116.46,169.26,-10.582,5.9569
116.96,163.75,-11.453,-1.7435
117.43,158.78,-9.8567,3.4258
117.7,155.86,-11.437,-5.7547
118.1,151.57,-10.083,3.4011
118.46,147.66,-11.723,-4.5733
118.78,144.18,-10.083,5.1287
119,141.91,-10.913,-3.8396
119.5,136.48,-10.783,0.26041
119.76,133.62,-10.789,-0.023201
120.26,128.16,-11.059,-0.53927
120.76,122.76,-10.538,1.0413
121.26,117.24,-11.531,-1.9866
121.54,114.16,-10.355,4.1749
121.86,110.8,-11.195,-2.6943
122.36,105.44,-10.243,1.9044
122.78,100.81,-11.767,-3.6207
123,98.361,-10.503,5.753
123.5,92.84,-11.582,-2.1583
123.73,90.253,-10.49,4.6592
124.23,84.727,-11.613,-2.2452
124.56,81.209,-10.137,4.5615
124.91,77.378,-11.597,-4.1421
125.27,73.444,-9.9874,4.417
125.6,69.932,-11.623,-5.0314
125.95,66.133,-10.012,4.5869
126.26,62.753,-11.525,-4.8182
126.59,59.155,-10.174,4.0732
127,54.718,-11.786,-3.991
127.28,51.584,-10.174,5.6478
127.57,48.556,-11.206,-3.6434
128.07,43.204,-10.201,2.0108
128.49,38.511,-11.835,-3.8366
128.73,35.892,-10.396,6.1071
129.23,30.355,-11.751,-2.7096
129.47,27.632,-10.372,5.6001
129.97,22.09,-11.796,-2.8488
130.25,19.069,-10.214,5.7634
130.6,15.262,-11.474,-3.5886
130.84,12.667,-10.501,4.1206
131.09,9.98,-10.874,-1.486
131.59,4.5494,-10.848,0.052676
131.93,0.83899,-10.763,0.24756
# Event GROUND_HIT occurred at t=132.25 seconds
132.25,-2.5631,-10.82,-0.18052
132.25,0,0,0
# Event SIMULATION_END occurred at t=1.7977e308 seconds
# Event SIMULATION_END occurred at t=1.7977e308 seconds
