# noFinsADAS4 (Up to date)
# 724 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-5.0772
0.01,0,0,49.069
0.02,0.0024537,0.49076,103.23
0.03,0.012523,1.5232,156.96
0.04,0.035604,3.093,179.89
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.07553,4.8923,184.25
0.06,0.13367,6.7352,188.61
0.07,0.21045,8.6217,192.97
0.08,0.30632,10.552,197.33
0.09,0.4217,12.526,201.69
0.1,0.55705,14.543,206.06
0.11,0.71278,16.604,210.43
0.12,0.88934,18.709,213.9
0.13,1.0871,20.848,214.1
0.14,1.3063,22.989,214
0.15,1.5469,25.13,213.91
0.16,1.8089,27.269,213.81
0.17,2.0923,29.408,213.72
0.18,2.3971,31.546,213.62
0.19,2.7232,33.682,213.52
0.19974,3.0614,35.762,213.43
# Event LAUNCHROD occurred at t=0.20891 seconds
0.20891,3.3985,37.721,213.34
0.22268,3.9378,40.657,213.16
0.24332,4.8224,45.058,212.89
0.27428,6.3195,51.651,212.48
0.32072,8.9475,61.522,211.86
0.37072,12.289,72.123,211.29
0.42072,16.159,82.697,210.73
0.47072,20.557,93.243,210.28
0.52072,25.483,103.77,211.13
0.57072,30.935,114.33,212.3
0.62072,36.917,124.95,213.4
0.67072,43.431,135.62,214.38
0.72072,50.48,146.34,215.21
0.77072,58.066,157.09,215.84
0.82072,66.19,167.88,216.29
0.87072,74.854,178.68,216.58
0.92072,84.059,189.49,216.72
0.97072,93.804,200.3,216.91
1.011,102.05,209.03,217.31
1.0444,109.15,216.27,217.92
1.0737,115.58,222.66,218.77
1.1024,122.07,228.95,219.85
1.1325,129.06,235.57,221.17
1.1662,137.12,243.04,222.81
1.2079,147.45,252.35,225.02
1.2579,160.35,263.64,227.73
1.3079,173.82,275.05,230.16
1.3579,187.86,286.58,232.28
1.389,196.87,293.79,233.08
1.4181,205.52,300.57,233.95
1.4465,214.16,307.22,234.73
1.476,223.31,314.13,235.43
1.5078,233.44,321.63,234.68
1.5477,246.45,330.97,232.66
1.5977,263.29,342.57,229.97
1.6477,280.7,354.04,227.53
1.6963,298.16,365.07,225.22
1.7264,309.28,371.87,224.3
1.7539,319.56,378.02,223.51
1.7823,330.41,384.38,222.85
1.8164,343.62,391.97,222.25
1.8664,363.5,403.1,221.37
1.9164,383.93,414.18,220.44
1.9554,400.25,422.78,219.51
1.9871,413.8,429.76,218.24
2.0252,430.31,438.05,215.35
2.0752,452.49,448.78,211.25
2.1252,475.19,459.32,207.28
2.1752,498.41,469.65,203.25
2.2201,519.7,478.77,200.24
2.2613,539.61,487.03,197.88
2.3113,564.21,496.92,194.91
2.3613,589.3,506.67,192.03
2.4047,611.46,515,189.17
2.452,636.01,523.91,185.32
2.502,662.44,533.14,181.42
2.5496,688.02,541.76,178.86
2.5996,715.33,550.69,176.39
2.6496,743.09,559.52,174.43
2.6996,771.28,568.23,171.73
2.7496,799.91,576.8,168.9
2.7996,828.96,585.21,165.29
2.8496,858.42,593.44,161.92
2.8936,884.73,600.57,158.94
2.9436,914.95,608.49,143.69
2.9936,945.56,615.67,96.79
3.0436,976.46,620.5,26.435
3.0936,1007.5,621.8,-34.445
3.1436,1038.6,620.08,-52.6
3.1936,1069.5,617.46,-64.812
# Event BURNOUT occurred at t=3.24 seconds
3.24,1098.1,614.47,-70.199
3.29,1128.7,610.99,-69.186
3.34,1159.2,607.53,-68.967
3.39,1189.5,604.09,-68.94
3.44,1219.6,600.65,-68.57
3.49,1249.5,597.23,-67.926
3.54,1279.3,593.87,-66.761
3.59,1308.9,590.54,-66.311
3.64,1338.4,587.23,-66.329
3.69,1367.6,583.91,-66.451
3.74,1396.7,580.6,-65.897
3.79,1425.7,577.32,-64.958
3.84,1454.5,574.1,-64.194
3.89,1483.1,570.9,-63.491
3.9363,1509.5,567.96,-63.548
3.9863,1537.8,564.78,-63.685
4.0363,1566,561.6,-63.597
4.0849,1593.2,558.53,-62.85
4.1349,1621,555.41,-61.858
4.1849,1648.7,552.34,-61.204
4.2349,1676.2,549.28,-61.175
4.2849,1703.6,546.22,-61.2
4.3349,1730.9,543.16,-61.003
4.3849,1757.9,540.12,-60.612
4.4349,1784.9,537.1,-60.046
4.4849,1811.6,534.12,-59.411
4.5349,1838.3,531.16,-58.777
4.5849,1864.8,528.24,-58.387
4.6349,1891.1,525.31,-58.62
4.6849,1917.3,522.38,-58.729
4.7349,1943.3,519.45,-58.238
4.7849,1969.2,516.56,-57.578
4.8349,1995,513.69,-57.347
4.8849,2020.6,510.82,-56.972
4.9349,2046.1,507.99,-56.637
4.9849,2071.4,505.17,-56.076
5.0349,2096.6,502.38,-55.503
5.0849,2121.6,499.61,-55.427
5.1349,2146.6,496.83,-55.55
5.1849,2171.3,494.06,-55.348
5.2349,2196,491.29,-55.29
5.2849,2220.5,488.53,-55.02
5.3349,2244.8,485.8,-54.376
5.3849,2269,483.1,-53.549
5.4349,2293.1,480.43,-53.283
5.4849,2317.1,477.77,-53.31
