# noFinsADAS5 (Up to date)
# 716 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-5.0772
0.01,0,0,49.069
0.02,0.0024537,0.49077,103.23
0.03,0.012524,1.5232,156.96
0.04,0.035604,3.093,179.89
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.07553,4.8923,184.25
0.06,0.13367,6.7352,188.6
0.07,0.21045,8.6216,192.96
0.08,0.30632,10.552,197.33
0.09,0.4217,12.525,201.69
0.1,0.55704,14.543,206.06
0.11,0.71277,16.604,210.43
0.12,0.88933,18.709,213.9
0.13,1.0871,20.848,214.11
0.14,1.3063,22.99,214.02
0.15,1.5469,25.13,213.93
0.16,1.8089,27.27,213.84
0.17,2.0923,29.409,213.74
0.18,2.3971,31.547,213.65
0.19,2.7232,33.684,213.56
0.19974,3.0614,35.764,213.47
# Event LAUNCHROD occurred at t=0.20891 seconds
0.20891,3.3985,37.723,213.39
0.22267,3.9378,40.659,213.21
0.24331,4.8224,45.061,212.95
0.27428,6.3196,51.656,212.54
0.32072,8.9478,61.53,211.92
0.37072,12.289,72.134,211.35
0.42072,16.16,82.711,210.79
0.47072,20.56,93.26,210.34
0.52072,25.486,103.79,211.2
0.57072,30.939,114.35,212.41
0.62072,36.922,124.98,213.6
0.67072,43.438,135.67,214.76
0.72072,50.49,146.41,215.91
0.77072,58.081,157.21,217.02
0.82072,66.213,168.07,218.11
0.87072,74.889,178.98,219.18
0.92072,84.112,189.94,220.23
0.97072,93.885,200.96,221.33
1.0207,104.21,212.03,222.83
1.0707,115.09,223.17,224.43
1.1207,126.53,234.4,226.03
1.1707,138.53,245.7,227.62
1.2207,151.1,257.09,229.21
1.2707,164.24,268.55,230.77
1.3207,177.96,280.09,232.3
1.3707,192.25,291.71,233.79
1.4207,207.13,303.4,235.24
1.4707,222.59,315.16,236.37
1.5207,238.65,326.97,235.28
1.5707,255.29,338.73,233.66
1.6207,272.52,350.41,231.99
1.6707,290.33,362.01,230.33
1.7207,308.72,373.52,228.69
1.7707,327.68,384.95,227.06
1.8207,347.21,396.3,225.41
1.8707,367.31,407.56,223.72
1.9207,387.96,418.74,221.96
1.9707,409.18,429.83,220.03
2.0207,430.95,440.83,216.97
2.0707,453.26,451.66,213.56
2.1207,476.11,462.33,210.13
2.1707,499.49,472.83,206.74
2.2207,523.39,483.15,203.38
2.2707,547.8,493.31,200
2.3207,572.71,503.3,196.55
2.3707,598.12,513.12,193.03
2.4207,624.02,522.75,189.46
2.4707,650.4,532.21,186.14
2.5207,677.24,541.51,183.35
2.5707,704.54,550.66,180.62
2.6207,732.3,559.68,177.89
2.6707,760.51,568.56,175.1
2.7207,789.15,577.3,172.25
2.7707,818.23,585.89,169.33
2.8207,847.74,594.34,166.42
2.8707,877.66,602.65,163.58
2.9207,908,610.81,153.55
2.9707,938.73,618.47,126.36
3.0207,969.81,624.77,59.349
3.0707,1001.1,627.73,-11.296
3.1207,1032.5,627.17,-46.44
3.1707,1063.8,624.86,-59.389
3.2207,1095,621.9,-68.138
# Event BURNOUT occurred at t=3.24 seconds
3.24,1106.9,620.59,-70.504
3.2689,1124.9,618.55,-70.194
3.3123,1151.6,615.52,-69.739
3.3623,1182.3,612.04,-69.233
3.4123,1212.8,608.59,-68.772
3.4623,1243.2,605.17,-68.309
3.5123,1273.4,601.76,-67.813
3.5623,1303.4,598.39,-67.315
3.6123,1333.2,595.03,-66.845
3.6623,1362.9,591.7,-66.386
3.7123,1392.4,588.39,-65.945
3.7623,1421.7,585.11,-65.511
3.8123,1450.9,581.84,-65.075
3.8623,1479.9,578.6,-64.654
3.9123,1508.7,575.38,-64.218
3.9623,1537.4,572.18,-63.782
4.0123,1566,569,-63.367
4.0623,1594.3,565.84,-62.981
4.1123,1622.5,562.7,-62.596
4.1623,1650.6,559.58,-62.208
4.2123,1678.5,556.48,-61.825
4.2623,1706.3,553.4,-61.445
4.3123,1733.8,550.33,-61.054
4.3623,1761.3,547.29,-60.666
4.4123,1788.6,544.27,-60.312
4.4623,1815.7,541.26,-59.963
4.5123,1842.7,538.27,-59.616
4.5623,1869.5,535.3,-59.275
4.6123,1896.2,532.34,-58.925
4.6623,1922.8,529.41,-58.572
4.7123,1949.2,526.49,-58.225
4.7623,1975.4,523.58,-57.897
4.8123,2001.5,520.7,-57.59
4.8623,2027.5,517.82,-57.295
4.9123,2053.3,514.97,-56.983
4.9623,2079,512.13,-56.654
5.0123,2104.5,509.3,-56.329
5.0623,2129.9,506.49,-56.009
5.1123,2155.2,503.7,-55.718
5.1623,2180.3,500.92,-55.447
5.2123,2205.3,498.16,-55.161
5.2623,2230.1,495.4,-54.874
5.3123,2254.8,492.67,-54.575
5.3623,2279.4,489.95,-54.293
5.4123,2303.8,487.24,-54.026
5.4623,2328.1,484.54,-53.752
5.5123,2352.3,481.86,-53.487
5.5623,2376.3,479.2,-53.222
5.6123,2400.2,476.54,-52.959
5.6623,2423.9,473.9,-52.686
5.7123,2447.6,471.27,-52.431
