# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
7.3893,3151.9,386.95,-45.336
7.4393,3171.2,384.69,-45.201
7.4893,3190.4,382.43,-45.085
7.5393,3209.4,380.18,-45.037
7.5893,3228.4,377.92,-44.985
7.6393,3247.2,375.68,-44.739
7.6893,3266,373.45,-44.458
7.7393,3284.6,371.23,-44.283
7.7893,3303.1,369.02,-44.025
7.8393,3321.5,366.83,-43.818
7.8893,3339.8,364.64,-43.595
7.9393,3358,362.47,-43.51
7.9893,3376,360.29,-43.499
8.0393,3394,358.12,-43.507
8.0893,3411.8,355.94,-43.443
8.1393,3429.6,353.78,-43.193
8.1893,3447.2,351.62,-42.988
8.2393,3464.7,349.48,-42.724
8.2893,3482.2,347.35,-42.467
8.3393,3499.5,345.23,-42.457
8.3893,3516.7,343.1,-42.414
8.4393,3533.8,340.99,-42.245
8.4893,3550.8,338.88,-42.107
8.5393,3567.7,336.78,-41.97
8.5893,3584.5,334.68,-41.876
8.6393,3601.1,332.59,-41.771
8.6893,3617.7,330.5,-41.635
8.7393,3634.2,328.43,-41.511
8.7893,3650.6,326.36,-41.278
8.8393,3666.8,324.3,-41.179
8.8893,3683,322.24,-41.119
8.9393,3699,320.18,-41.151
8.9893,3715,318.13,-41.01
9.0393,3730.9,316.08,-40.72
9.0893,3746.6,314.05,-40.605
9.1393,3762.3,312.02,-40.42
9.1893,3777.8,310.01,-40.357
9.2393,3793.3,307.99,-40.279
9.2893,3808.6,305.98,-40.164
9.3393,3823.9,303.97,-40.104
9.3893,3839,301.97,-39.944
9.4393,3854.1,299.98,-39.86
9.4893,3869,297.99,-39.72
9.5393,3883.9,296,-39.623
9.5893,3898.6,294.02,-39.543
9.6393,3913.3,292.05,-39.511
9.6893,3927.8,290.07,-39.435
9.7393,3942.3,288.1,-39.346
9.7893,3956.6,286.14,-39.267
9.8393,3970.9,284.18,-39.105
9.8893,3985,282.23,-38.949
9.9393,3999.1,280.28,-38.857
9.9893,4013.1,278.34,-38.706
10.039,4026.9,276.41,-38.579
10.089,4040.7,274.49,-38.41
10.139,4054.4,272.57,-38.25
10.189,4068,270.66,-38.189
10.239,4081.5,268.75,-38.241
10.289,4094.8,266.84,-38.212
10.339,4108.1,264.93,-38.183
10.389,4121.3,263.02,-38.184
10.439,4134.4,261.11,-38.099
10.489,4147.5,259.21,-37.934
10.539,4160.4,257.32,-37.781
10.589,4173.2,255.43,-37.574
10.639,4185.9,253.56,-37.428
10.689,4198.5,251.69,-37.35
10.739,4211.1,249.82,-37.351
10.789,4223.5,247.95,-37.333
10.839,4235.9,246.09,-37.287
10.889,4248.1,244.23,-37.258
10.939,4260.3,242.36,-37.187
10.989,4272.4,240.51,-37.171
11.039,4284.3,238.65,-37.111
11.089,4296.2,236.8,-36.97
11.139,4308,234.95,-36.81
11.189,4319.7,233.11,-36.662
11.239,4331.3,231.28,-36.56
11.289,4342.9,229.46,-36.428
11.339,4354.3,227.64,-36.323
11.389,4365.6,225.83,-36.297
